story_id,cond,n_sentences,n_words,n_annotators,overall_coherence,overall_creativity,overall_likeability,eps_story,rr_RR,rr_DET,rr_L,rr_L_MAX,rr_DIV,rr_ENTR,rr_RATIO,rr_LAM,rr_TT,rr_V_MAX,eps_RR,eps_DET,eps_L,eps_L_MAX,eps_DIV,eps_ENTR,eps_RATIO,eps_LAM,eps_TT,eps_V_MAX,path_length,mean_step,sd_step,max_step,net_displacement,straightness,radius_gyration,centroid_norm,msd_alpha,msd_alpha_r2,circularity,first_last_cos,mean_pairwise_sim,sd_pairwise_sim,decay_lambda,decay_A,decay_C,decay_exp_r2,decay_half_life,decay_fit_at_bound,decay_beta,decay_pow_r2,decay_lin_slope,decay_lin_r2,decay_half_distance,sim_lag1,sim_maxlag,decay_max_lag,decay_n_lags,conversation_id,mean_coherence_element_consistency,mean_coherence_logical_progression,mean_creativity_originality,mean_creativity_surprisingness,mean_likeability_enjoyability,mean_likeability_quality,mean_lead_time,ann1_annotator,ann1_coherence_element_consistency,ann1_coherence_logical_progression,ann1_creativity_originality,ann1_creativity_surprisingness,ann1_likeability_enjoyability,ann1_likeability_quality,ann1_lead_time,ann1_comments,ann2_annotator,ann2_coherence_element_consistency,ann2_coherence_logical_progression,ann2_creativity_originality,ann2_creativity_surprisingness,ann2_likeability_enjoyability,ann2_likeability_quality,ann2_lead_time,ann2_comments
188SQKM20FYzYRFIJ08U,HH,43,572,2,3.75,4.25,4.5,0.3047488331794739,0.05094130675526024,0.08695652173913043,2.0,2.0,0.5,0.0,1.7069943289224954,0.1956521739130435,2.25,3.0,0.005537098560354375,0.0,,1.0,1.0,,0.0,0.0,,1.0,37.32408849421065,0.8886687736716821,0.07288677160126542,1.0248733471194107,0.966135128659096,0.025885029417636107,0.6525339433881118,0.7577595253033527,0.036115501637512266,0.7169572762165082,0.8536141743742675,0.5332914763241128,0.5640613806340121,0.07440820172728276,0.2552875759525441,0.05980532086234033,0.5564275353604335,0.7576643112042482,2.71516221646758,0.0,0.02674829985592487,0.7010869221191126,-0.0017068922109500539,0.503844014568025,5.25792072585684,0.6025409379175731,0.5478521815755151,21.0,21.0,188SQKM20FYzYRFIJ08U,4.0,3.5,5.0,3.5,5.0,4.0,203.747,1.0,3.0,2.0,5.0,2.0,5.0,3.0,34.714,h-h,2.0,5.0,5.0,5.0,5.0,5.0,5.0,372.78,I think it is human-human
1jhKtdiCFYhLl4Itr0tM,HH,33,446,2,2.75,3.0,3.25,0.24619519710540771,0.05113636363636364,0.14814814814814814,2.0,2.0,0.5,0.0,2.8971193415637857,0.18518518518518517,2.0,2.0,0.07007575757575757,0.16216216216216217,2.0,2.0,0.5,0.0,2.3140978816654494,0.16216216216216217,2.0,2.0,27.293160097354253,0.8529112530423204,0.11883807785532517,1.0311867172563278,0.7017050163915597,0.025709921969042406,0.6191997362099783,0.7852335553493852,0.03559639227323567,0.3596207386879834,0.8476642008435299,0.7538050875128199,0.6046102332572142,0.09322746195135263,0.12373079919072238,0.04701659345668571,0.5914768760541023,0.35282386047578684,5.602058542364277,0.0,0.022768983559779268,0.3450191901115919,-0.0022759767807566987,0.3439102578799156,7.504331901436505,0.6294306768104434,0.5674108021399554,16.0,16.0,1jhKtdiCFYhLl4Itr0tM,3.0,2.5,4.5,1.5,5.0,1.5,262.683,1.0,1.0,4.0,4.0,2.0,5.0,2.0,71.857,h-h,2.0,5.0,1.0,5.0,1.0,5.0,1.0,453.508,it is definitely human-human
599Km2RY5nTNKI7vG2Wb,HH,40,505,2,4.75,4.5,4.5,0.2847084701061249,0.05,0.15384615384615385,2.0,2.0,0.5,0.0,3.076923076923077,0.32051282051282054,2.0833333333333335,3.0,0.021794871794871794,0.0,,1.0,1.0,,0.0,0.29411764705882354,2.0,2.0,33.82158084093011,0.8672200215623105,0.10053214163791856,1.0583256920125865,1.0755075102932934,0.03179944531131255,0.6417925197683775,0.766878359195341,0.030219502351201327,0.47664925760527865,0.8345622908015775,0.42164185593955916,0.5775409281635896,0.07682496942740719,0.45818863385957376,0.0652007639974691,0.5752013079044159,0.5327752157142145,1.5127987237945801,0.0,0.021157562371177725,0.4628092511860905,-0.0013295600283370053,0.28408976665817465,3.8243529150840416,0.6190409324108026,0.5982717037200928,20.0,20.0,599Km2RY5nTNKI7vG2Wb,4.5,5.0,5.0,4.0,4.5,4.5,230.741,1.0,4.0,5.0,5.0,3.0,4.0,4.0,256.56,h-h,2.0,5.0,5.0,5.0,5.0,5.0,5.0,204.922,Human-human
6Jv806AoPWPYePMobUvx,HH,29,519,2,3.5,2.5,2.75,0.2538326382637024,0.05172413793103448,0.0,,1.0,1.0,,0.0,0.23809523809523808,2.0,2.0,0.04926108374384237,0.0,,1.0,1.0,,0.0,0.2,2.0,2.0,23.73035333429442,0.8475126190819436,0.09904130466003547,0.9875146053368895,0.8283904108201152,0.03490847351282163,0.6113026656385688,0.7913969224721917,0.03110819430089051,0.5693721422091973,0.8670140511018173,0.6568847491117348,0.6129630171313074,0.08221799241541884,0.08642609566662952,0.047158161250782524,0.5930828308567533,0.6028209478452742,8.020114471370022,0.0,0.018897143833576328,0.570616410250393,-0.0022090806696841744,0.5886107042794543,5.32214789652413,0.6361318358353206,0.6061414221922556,14.0,14.0,6Jv806AoPWPYePMobUvx,3.5,3.5,1.5,3.5,2.0,3.5,221.885,2.0,3.0,4.0,1.0,4.0,2.0,4.0,145.572,human-ai,1.0,4.0,3.0,2.0,3.0,2.0,3.0,298.197,H-AI. They set up some plot points in the start that were completely forgotten
7wPRj5Wbc26nlx60LUT5,HH,35,526,2,3.0,3.25,3.25,0.2545880675315857,0.05042016806722689,0.13333333333333333,2.0,2.0,0.5,0.0,2.6444444444444444,0.2833333333333333,2.125,3.0,0.04873949579831933,0.13793103448275862,2.0,2.0,0.5,0.0,2.829964328180737,0.29310344827586204,2.125,3.0,28.652953313803806,0.8427339209942296,0.10386927540563892,0.977938757229958,1.0020135910691752,0.034970691505871634,0.6098038803491915,0.7925523774806861,0.02334547404760095,0.32423144087858746,0.8751463952663853,0.4979844420681748,0.6172022011600623,0.07548490434533904,0.2846159289218589,0.03308659898776994,0.6161239783772474,0.3492118422956698,2.435377328266994,0.0,0.013957050347756255,0.31736388816337113,-0.0011679234907526024,0.23062127792568698,3.934474661282486,0.6396641889039207,0.6157295968797472,17.0,17.0,7wPRj5Wbc26nlx60LUT5,3.0,3.0,4.5,2.0,4.0,2.5,208.028,2.0,2.0,3.0,4.0,1.0,4.0,3.0,141.926,human-human,1.0,4.0,3.0,5.0,3.0,4.0,2.0,274.131,"H-H. i love ""rat hinge"""
9MYVXy4Nms9gfR1DI7NA,HH,40,519,2,2.75,3.5,3.25,0.23811578750610352,0.05,0.20512820512820512,2.0,2.0,0.5,0.0,4.102564102564102,0.28205128205128205,2.2,3.0,0.06153846153846154,0.20833333333333334,2.0,2.0,0.5,0.0,3.3854166666666665,0.3541666666666667,2.2666666666666666,4.0,32.53881965258221,0.8343287090405695,0.13810109354014224,1.0946774592239468,1.0381992497227197,0.031906481575164646,0.6212369339380245,0.7836228247724202,0.046487272183281185,0.7417919383449212,0.8580868800212815,0.4610712131631639,0.6041689467353698,0.08673877995589746,0.19714579415131506,0.06294340927923733,0.5936773623500853,0.7644289902063351,3.5159115797719473,0.0,0.02895684260551938,0.7205866887770257,-0.0021817638996062916,0.578502029711313,6.19884386221713,0.6426564050026429,0.6057599350810051,20.0,20.0,9MYVXy4Nms9gfR1DI7NA,3.5,2.0,5.0,2.0,4.0,2.5,297.618,1.0,2.0,1.0,5.0,1.0,3.0,1.0,441.18,h-h,2.0,5.0,3.0,5.0,3.0,5.0,4.0,154.055,human-human
BocRhyGX0eWpgbUSkjWF,HH,32,539,2,2.75,3.25,4.0,0.19403335452079773,0.05040322580645161,0.44,2.2,3.0,0.3333333333333333,0.7219280948873623,8.729600000000001,0.38,2.375,4.0,0.22782258064516128,0.48672566371681414,3.0555555555555554,6.0,0.16666666666666666,1.7177602521413333,2.1364241522437153,0.6017699115044248,2.893617021276596,6.0,22.314792653581474,0.7198320210832734,0.09849680984854371,0.8915204667730026,0.8955961257201197,0.040134638023462815,0.5524204605885927,0.8335656492683335,0.07741883107536782,0.7785816843337137,0.8088326875717898,0.5989538537547401,0.6849875625583434,0.07441861737318124,0.12358508555803416,0.07691626187101251,0.6646642380270792,0.7345549147841374,5.608663678389018,0.0,0.032787463653428314,0.736814810299566,-0.0037252657943475007,0.7170602168080156,6.297848783941233,0.7362267221173933,0.6505958884954453,16.0,16.0,BocRhyGX0eWpgbUSkjWF,2.0,3.5,5.0,1.5,4.5,3.5,187.137,2.0,2.0,3.0,5.0,1.0,5.0,4.0,79.43,human-human,1.0,2.0,4.0,5.0,2.0,4.0,3.0,294.844,H-H. mindblowing
D8kJXS3suDI2tltssVgN,HH,44,617,2,2.0,3.0,1.25,0.24267655611038208,0.0507399577167019,0.0625,3.0,3.0,0.3333333333333333,0.0,1.2317708333333333,0.14583333333333334,2.0,2.0,0.0708245243128964,0.1044776119402985,2.3333333333333335,3.0,0.3333333333333333,0.9182958340544896,1.4751615059033192,0.22388059701492538,2.0,2.0,34.90179252669027,0.8116695936439599,0.08407516356646198,0.9777944450774396,1.0096044902805414,0.028927009680332943,0.6027507332772148,0.7979295735635391,0.03495057639156051,0.763996263598385,0.8934456448324253,0.4903495064873292,0.6282425733247721,0.08204697672965423,0.2527350465990587,0.04850114886875889,0.6237282217826711,0.7757803858940612,2.7425843383706123,0.0,0.01968693621445358,0.7582868643537147,-0.0013610530164566057,0.5549896318046383,2.448639158475812,0.6671441543933957,0.6315291103991595,22.0,22.0,D8kJXS3suDI2tltssVgN,2.5,1.5,5.0,1.0,1.0,1.5,266.241,2.0,1.0,1.0,5.0,1.0,1.0,2.0,159.702,wtf? human-human,1.0,4.0,2.0,5.0,,1.0,1.0,372.781,H-H. huh.
EVPkCWSrT9SwL38W9Zuk,HH,32,572,2,2.75,3.5,2.75,0.3016524314880371,0.05040322580645161,0.2,2.5,3.0,0.3333333333333333,1.0,3.9680000000000004,0.28,2.0,2.0,0.016129032258064516,0.25,2.0,2.0,0.5,0.0,15.5,0.0,,1.0,27.013171164561573,0.8713926182116637,0.08404602309836182,1.0371726263090089,0.8128673332570542,0.0300915182562294,0.6448584498278367,0.7643020488977826,0.052596813622908245,0.7169813980195586,0.7725865042117956,0.6696233669751988,0.5707433624493499,0.08014117191268891,0.2624304172972743,0.0761542174886385,0.5619266657124168,0.7206860162892031,2.6412608252448355,0.0,0.03705925195931816,0.6980098982367284,-0.0032614383575671267,0.5798148849806923,4.808830738259175,0.6169196290354575,0.5598608627915382,16.0,16.0,EVPkCWSrT9SwL38W9Zuk,2.5,3.0,5.0,2.0,3.0,2.5,164.948,2.0,1.0,2.0,5.0,2.0,2.0,2.0,138.317,human-human,1.0,4.0,4.0,5.0,2.0,4.0,3.0,191.579,H-H. that derailed fast
FTAeksA8Y0QOBPW6kxWX,HH,51,566,2,4.25,4.25,4.5,0.28664594888687134,0.05019607843137255,0.234375,2.5,5.0,0.2,0.6500224216483541,4.669189453125,0.359375,2.3,6.0,0.02431372549019608,0.25806451612903225,2.0,2.0,0.5,0.0,10.613943808532778,0.16129032258064516,2.0,2.0,43.65423718524292,0.8730847437048584,0.11969096137825652,1.090466793465026,1.056995656455181,0.02421289947113067,0.6629219565784699,0.7486885416258781,0.05168157267407726,0.7825151239179019,0.876654246737921,0.44138023187571596,0.5517452089459288,0.09232156585359634,0.1867997139070694,0.0818731698766594,0.5350734306075307,0.7913362135077743,3.7106436945871213,0.0,0.0397896430119114,0.7730126533617784,-0.0022335400851382033,0.5995486839384545,5.0150913603318426,0.611841841340065,0.5315609322144434,25.0,25.0,FTAeksA8Y0QOBPW6kxWX,4.0,4.5,4.0,4.5,4.5,4.5,180.533,2.0,3.0,4.0,5.0,4.0,5.0,4.0,188.357,human-human,1.0,5.0,5.0,3.0,5.0,4.0,5.0,172.709,H-H
